alpha	rank	lr	epoch	val_acc	test_acc
0.0	8	1e-4	1	79.45	78.95
0.0	8	1e-4	3	80.82	77.63
0.0	8	3e-4	1	79.45	82.89
0.0	8	3e-4	3	82.19	77.63
0.0	16	1e-4	1	79.45	80.26
0.0	16	1e-4	3	82.19	78.95
0.0	16	3e-4	1	80.82	81.58
0.0	16	3e-4	3	86.3	76.32
0.0	64	1e-4	1	79.45	81.58
0.0	64	1e-4	3	82.19	81.58
0.0	64	3e-4	1	1.37	5.26
0.0	64	3e-4	3	21.92	32.89
0.15	8	1e-4	1	79.45	80.26
0.15	8	1e-4	3	79.45	77.63
0.15	8	3e-4	1	80.82	82.89
0.15	8	3e-4	3	82.19	80.26
0.15	16	1e-4	1	80.82	81.58
0.15	16	1e-4	3	82.19	77.63
0.15	16	3e-4	1	80.82	81.58
0.15	16	3e-4	3	82.19	76.32
0.15	64	1e-4	1	78.08	81.58
0.15	64	1e-4	3	78.08	81.58
0.15	64	3e-4	1	72.6	68.42
0.15	64	3e-4	3	78.08	78.95
0.35	8	1e-4	1	78.08	80.26
0.35	8	1e-4	3	79.45	78.95
0.35	8	3e-4	1	78.08	81.58
0.35	8	3e-4	3	78.08	81.58
