rank	lr	epoch	val_acc	test_acc
4	1e-4	1	88.75	84.52
4	1e-4	2	88.75	86.9
4	2e-4	1	90.0	88.1
4	2e-4	2	90.0	86.9
4	3e-4	1	90.0	88.1
4	3e-4	2	90.0	85.71
4	5e-4	1	93.75	88.1
4	5e-4	2	92.5	83.33
8	1e-4	1	90.0	83.33
8	1e-4	2	87.5	84.52
8	2e-4	1	90.0	88.1
8	2e-4	2	91.25	86.9
8	3e-4	1	90.0	85.71
8	3e-4	2	91.25	88.1
8	5e-4	1	92.5	85.71
8	5e-4	2	92.5	82.14
16	1e-4	1	90.0	88.1
16	1e-4	2	88.75	88.1
16	2e-4	1	92.5	88.1
16	2e-4	2	92.5	88.1
16	3e-4	1	93.75	88.1
16	3e-4	2	91.25	86.9
16	5e-4	1	87.5	84.52
16	5e-4	2	87.5	76.19
